"nobs","Mmod","Smod","kernel","criterion","ISE","bandwidth","timing"
100,1,1,"Wishart","lscv",1084.63301073525,0.252863010239041,65.7512400150299
100,1,1,"Wishart","lcv",1123.62696135034,0.188869586467043,79.2884609699249
100,1,1,"smlnorm","lscv",1025.25846682968,0.132845933158568,19.0671451091766
100,1,1,"smlnorm","lcv",932.696368821881,0.148153556022313,17.5818786621094
100,1,1,"smnorm","lscv",2001.42027062549,0.816271935478162,16.357439994812
100,1,1,"smnorm","lcv",2553.11094705333,8.98170054824884,2.13262486457825
100,1,2,"Wishart","lscv",1363.48130053498,0.15241836475563,49.8482143878937
100,1,2,"Wishart","lcv",1444.19657839638,0.102885325145166,58.5119078159332
100,1,2,"smlnorm","lscv",2093.71516045639,0.0736418419764573,19.2210574150085
100,1,2,"smlnorm","lcv",1222.91203506714,0.0988907673471374,12.658234834671
100,1,2,"smnorm","lscv",3540.95303123823,1.20098626224106,5.43371057510376
100,1,2,"smnorm","lcv",3362.53168665324,26.0615919868488,1.40550422668457
100,1,3,"Wishart","lscv",11658.7178514066,0.329387648954449,25.9167392253876
100,1,3,"Wishart","lcv",16165.0709954865,0.140576051982887,46.4473903179169
100,1,3,"smlnorm","lscv",15160.4918441425,0.0380589646541124,7.25120186805725
100,1,3,"smlnorm","lcv",18119.9871904325,0.0749904370127844,10.7718183994293
100,1,3,"smnorm","lscv",25237.11103282,0.444609066684074,4.11263012886047
100,1,3,"smnorm","lcv",13597.1751006327,7.57087203789831,1.03733706474304
100,2,1,"Wishart","lscv",9492.46978938077,0.301247008347938,68.027055978775
100,2,1,"Wishart","lcv",13871.8103629467,0.144813435171581,108.492115259171
100,2,1,"smlnorm","lscv",20541.1320339164,0.218142080183156,17.0926873683929
100,2,1,"smlnorm","lcv",17440.8600053211,0.286993880412818,12.1012408733368
100,2,1,"smnorm","lscv",7798.90644375913,0.224484522010173,15.6771385669708
100,2,1,"smnorm","lcv",11701.7389563002,0.724114651301744,2.96567058563232
100,2,2,"Wishart","lscv",26980.276789341,0.156463493955997,65.3043541908264
100,2,2,"Wishart","lcv",39037.6544062071,0.10133931731016,72.9626498222351
100,2,2,"smlnorm","lscv",36982.1413033339,0.174388182886999,15.6197981834412
100,2,2,"smlnorm","lcv",37925.9161861547,0.170972568236009,15.0620486736298
100,2,2,"smnorm","lscv",31990.4933616056,0.153716689963454,10.5212688446045
100,2,2,"smnorm","lcv",39387.6874909248,0.343142390836861,3.935879945755
100,2,3,"Wishart","lscv",154174.533642318,0.220912085566761,69.9818303585052
100,2,3,"Wishart","lcv",157255.661480496,0.222966364816478,72.2827024459839
100,2,3,"smlnorm","lscv",449146.665400752,0.0727848135977819,18.1570045948029
100,2,3,"smlnorm","lcv",233709.077822598,0.155181350551276,18.6959824562073
100,2,3,"smnorm","lscv",315297.371612471,0.0185582637137861,16.9452140331268
100,2,3,"smnorm","lcv",372862.822849039,0.273001592746208,2.66892266273499
100,3,1,"Wishart","lscv",4634.02924166793,0.111460208287176,106.637310266495
100,3,1,"Wishart","lcv",4059.27818744424,0.132195164742523,90.5086262226105
100,3,1,"smlnorm","lscv",5334.53244008037,0.165577414723664,19.7908880710602
100,3,1,"smlnorm","lcv",3986.18850521386,0.219444044108004,18.8395683765411
100,3,1,"smnorm","lscv",7311.89326601701,0.212218545254354,26.1211326122284
100,3,1,"smnorm","lcv",14670.285584425,2.67099224128112,2.09466791152954
100,3,2,"Wishart","lscv",13577.7519580572,0.12609809484446,99.1856372356415
100,3,2,"Wishart","lcv",16794.0252550786,0.101971886319525,117.711276292801
100,3,2,"smlnorm","lscv",20198.3582899747,0.120853882143746,22.7146773338318
100,3,2,"smlnorm","lcv",14874.4658425774,0.155435579136422,21.0845770835876
100,3,2,"smnorm","lscv",24675.2270236818,0.12736871888425,15.4803807735443
100,3,2,"smnorm","lcv",32287.6020225984,1.44175230783476,2.92008399963379
100,3,3,"Wishart","lscv",91184.3981914521,0.315789763260901,24.6741173267365
100,3,3,"Wishart","lcv",199611.695477051,0.139540604952767,59.842930316925
