"nobs","Mmod","Smod","kernel","criterion","mean_ISE","sd_ISE","median_ISE","IQR_ISE","mean_time_min"
100,2,3,"smlnorm","lcv",258424.608347082,222669.603374928,201166.422886786,141697.547417486,0.284624847734813
200,2,3,"smlnorm","lcv",195480.275604638,152497.972760703,160990.022453491,100513.049466933,0.577046015548209
300,2,3,"smlnorm","lcv",169945.135204647,157995.569264012,138229.57353544,75923.8612101509,0.985686449264176
100,3,3,"smlnorm","lcv",161787.048043865,151963.444228183,129052.433230625,99930.6761610714,0.210367682634387
200,3,3,"smlnorm","lcv",128910.682358084,104750.47695951,105056.748241218,78453.0355926445,0.444122443790548
300,3,3,"smlnorm","lcv",117866.417698781,104462.241654219,94069.474308892,67100.5852683333,0.793480317667127
100,1,1,"smnorm","lcv",2201.38828989784,412.609977062788,2016.21598857657,783.675090708294,0.0443708179052919
200,1,1,"smnorm","lcv",2031.31600798595,390.984059559405,1864.58904261452,610.076233935593,0.050676022687306
300,1,1,"smnorm","lcv",1954.44357425173,384.893246088696,1808.80695750386,467.505549310473,0.05732323989893
100,2,1,"smnorm","lcv",12645.023476134,2220.18881511546,12468.3983214627,2963.55418340581,0.0558265410518895
200,2,1,"smnorm","lcv",10725.6201102828,1866.41455172364,10541.161297957,2519.89245099048,0.0692171355593018
300,2,1,"smnorm","lcv",9713.33940282222,1677.37629970881,9505.47155025421,1974.97600180486,0.0796050320495851
100,3,1,"smnorm","lcv",12099.3491799095,1904.80565243514,12038.0304735672,2575.4455316107,0.0558392719753707
200,3,1,"smnorm","lcv",10465.768097298,1712.85198511858,10224.7634488799,2163.74320226205,0.0705424764115984
300,3,1,"smnorm","lcv",9571.39668760588,1629.07403602394,9313.54933673702,2098.27194979285,0.0823913572821766
100,1,2,"smnorm","lcv",4206.74603709952,1090.68455346699,3683.20737342381,1602.69091846389,0.0388986700718912
200,1,2,"smnorm","lcv",4232.65627080405,1138.49593064183,3674.02235963506,1621.22116705353,0.0452208234773328
300,1,2,"smnorm","lcv",4238.26438596592,1164.31601938288,3677.25423305282,1635.72865975423,0.050873805283724
100,2,2,"smnorm","lcv",42443.0007866797,5814.53191377749,42403.4084994287,7457.06105713756,0.0634341478037337
200,2,2,"smnorm","lcv",37539.1794536552,5450.19439957822,36913.3012649232,7216.57931590219,0.0787037920594836
300,2,2,"smnorm","lcv",34679.0686333971,5258.79110166688,33886.321685982,6594.39358640979,0.0918270449425715
100,3,2,"smnorm","lcv",35352.4177749409,4374.63036135571,35366.4564130459,5287.18261490357,0.057341566348138
200,3,2,"smnorm","lcv",32774.8716120997,4117.14542630197,32840.0241568026,5460.42241141319,0.0698906287473316
300,3,2,"smnorm","lcv",31364.2105716095,3856.68716552621,31493.6395685658,5183.30889055988,0.0810955029019775
100,1,3,"smnorm","lcv",14059.7705990779,3612.35430532255,13474.7906683125,325.728378274927,0.0171106327325106
200,1,3,"smnorm","lcv",13906.1374854953,2654.66578240144,13384.4533826699,419.463156513424,0.0193275482354996
300,1,3,"smnorm","lcv",14109.2901290099,3191.44017712415,13317.7896567987,480.507618351334,0.0218384544830769
100,2,3,"smnorm","lcv",426192.03438335,111910.660039881,452522.924853084,144667.497483516,0.0450598037413632
200,2,3,"smnorm","lcv",375442.031821365,103024.647373817,350391.176471923,169951.795852211,0.05216083987616
300,2,3,"smnorm","lcv",344624.311419943,103721.221237363,333089.62635903,95018.2112494066,0.058015149886099
100,3,3,"smnorm","lcv",315302.284853753,111241.269178243,270025.31829178,142488.811869479,0.0305130868296449
200,3,3,"smnorm","lcv",292860.583891484,97562.4570113848,261953.081628774,142210.177118436,0.0354314434109256
300,3,3,"smnorm","lcv",272000.458156385,94606.3231877593,254308.011043647,108977.585432246,0.0414115773281083
100,1,1,"Wishart","lcv",1202.78818678145,906.877967983521,963.250501625134,565.486638463511,1.28574904779671
200,1,1,"Wishart","lcv",950.450139781758,762.541952366825,775.360873882806,422.602196760567,3.21463618550139
300,1,1,"Wishart","lcv",774.545067535571,427.353803089495,670.977432305914,342.488956975888,5.40440955929225
100,2,1,"Wishart","lcv",10014.5593554945,7495.45738874795,8348.74925052789,4431.6674323714,1.37088540271313
200,2,1,"Wishart","lcv",7814.49204692024,5071.85617172639,6525.35106099151,3351.62843189553,3.34141513931875
300,2,1,"Wishart","lcv",6719.46052821269,3821.75261545168,5620.84588962989,2756.28323203562,5.84907590348351
100,3,1,"Wishart","lcv",8226.02381502572,7937.13306993259,6838.50050916395,3551.50541304247,1.39109574954879
200,3,1,"Wishart","lcv",6839.06244231716,5366.29092367611,5505.57684391708,2959.68083773135,3.35675907996483
300,3,1,"Wishart","lcv",5769.32536507982,5396.63403053759,4747.62354421619,2367.35824332855,5.81843366168517
100,1,2,"Wishart","lcv",2396.83096502133,2185.28499618387,1910.66310312921,1197.03929765488,1.11110509549811
200,1,2,"Wishart","lcv",1917.73431929743,1363.89026168162,1583.22014433656,999.438484014797,2.73580847555228
300,1,2,"Wishart","lcv",1677.29338761437,1116.50845958858,1416.97043655991,810.986409336643,4.60504318582825
